key,value
"application_train.csv|EXT_SOURCE_,AVG",0.7156857974122915
application_train.csv|EXT_SOURCE_3,0.657033
application_train.csv|EXT_SOURCE_2,0.654333
"application_train.csv|EXT_SOURCE_,DIST",0.6011493745878222
"bureau.csv|DAYS_CREDIT,mean",0.598453
"bureau.csv|DAYS_CREDIT,median",0.596892
"application_train.csv|DAYS_EMPLOYED,nan_instead_of_max",0.592535
"application_train.csv|DAYS_EMPLOYED,0_instead_of_max",0.591855
application_train.csv|DAYS_EMPLOYED,0.591075
application_train.csv|EXT_SOURCE_1,0.589739
application_train.csv|AMT_CREDIT,0.586195
application_train.csv|AMT_GOODS_PRICE,0.586175
"bureau.csv|DAYS_CREDIT_UPDATE,median",0.584848
"bureau.csv|DAYS_CREDIT_UPDATE,mean",0.583775
application_train.csv|DAYS_BIRTH,0.57988
"bureau.csv|DAYS_CREDIT_ENDDATE,sum",0.579207
"bureau.csv|DAYS_CREDIT_ENDDATE,median",0.579012
"bureau.csv|CREDIT_ACTIVE_Closed,median",0.573777
"bureau.csv|DAYS_CREDIT_ENDDATE,mean",0.573053
"bureau.csv|CREDIT_ACTIVE_Active,median",0.572051
"previous_application.csv|DAYS_FIRST_DRAWING,sum",0.5704990330173152
"installments_payments.csv|DAYS_INSTALMENT,std",0.570298
"installments_payments.csv|DAYS_INSTALMENT,var",0.570291
"bureau.csv|DAYS_CREDIT,prod",0.569949
"bureau.csv|DAYS_ENDDATE_FACT,mean",0.568993
"bureau.csv|DAYS_ENDDATE_FACT,median",0.568881
"bureau.csv|DAYS_ENDDATE_FACT,sum",0.567844
application_train.csv|AMT_ANNUITY,0.567382
"installments_payments.csv|DAYS_ENTRY_PAYMENT,var",0.567348
"installments_payments.csv|DAYS_ENTRY_PAYMENT,std",0.567345
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,sum",0.5655793398643094
"previous_application.csv|DAYS_FIRST_DRAWING,prod",0.5655666989344534
"bureau.csv|DAYS_ENDDATE_FACT,prod",0.565551
application_train.csv|REGION_POPULATION_RELATIVE,0.565212
"previous_application.csv|DAYS_FIRST_DRAWING,max_flag,median",0.5652062617218673
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,sum",0.5632236538515839
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,sum",0.5632236538515839
"POS_CASH_balance.csv|MONTHS_BALANCE,std",0.56305
"bureau.csv|DAYS_CREDIT_UPDATE,sum",0.562182
"bureau.csv|DAYS_CREDIT_UPDATE,std",0.561906
"bureau.csv|DAYS_CREDIT_UPDATE,var",0.561906
"bureau.csv|DAYS_CREDIT,sum",0.561585
"application_train.csv|DAYS_LAST_PHONE_CHANGE,nan_instead_of_max",0.561474
application_train.csv|DAYS_LAST_PHONE_CHANGE,0.561456
"bureau.csv|CREDIT_ACTIVE_Active,mean",0.560885
"installments_payments.csv|DAYS_INSTALMENT,mean",0.560123
"previous_application.csv|DAYS_DECISION,mean",0.559705520554553
"POS_CASH_balance.csv|MONTHS_BALANCE,var",0.559647
"previous_application.csv|DAYS_FIRST_DUE,sum",0.559274891269443
"bureau.csv|AMT_CREDIT_SUM_DEBT,mean",0.559079
"previous_application.csv|CODE_REJECT_REASON_XAP,mean",0.558721416969151
"installments_payments.csv|DAYS_ENTRY_PAYMENT,mean",0.558642
"installments_payments.csv|AMT_PAYMENT,0_instead_of_min,median",0.558585
"installments_payments.csv|AMT_PAYMENT,median",0.558579
"bureau.csv|AMT_CREDIT_SUM_DEBT,sum",0.558443
"application_train.csv|DAYS_LAST_PHONE_CHANGE,0_instead_of_max",0.557633
"installments_payments.csv|AMT_PAYMENT,nan_instead_of_min,median",0.55755
"bureau.csv|DAYS_ENDDATE_FACT,var",0.556902
"bureau.csv|DAYS_ENDDATE_FACT,std",0.556901
"previous_application.csv|DAYS_DECISION,var",0.55673731615532
"previous_application.csv|DAYS_DECISION,std",0.5567365058447842
"previous_application.csv|DAYS_FIRST_DRAWING,std",0.5565648106394478
"previous_application.csv|DAYS_FIRST_DRAWING,var",0.5565643457422135
"bureau.csv|DAYS_CREDIT,var",0.556187
"bureau.csv|DAYS_CREDIT,std",0.556185
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,mean",0.5559974636631869
"bureau.csv|CREDIT_ACTIVE_Closed,mean",0.555979
"previous_application.csv|DAYS_TERMINATION,sum",0.5555703341814555
